NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
PORTO VELHO;RO;;;18;4;;B;3;A;B;;;;;;;
ALTO PARAISO;RO;ALTO PARAISO;RO;17;2;1;C;5;A;A;;;;;;;
PORTO VELHO;RO;;;15;3;;E;2;A;A;;;;;;;
MACHADINHO D OESTE;RO;;;27;1;;C;2;A;B;13;5;5;5;5;5;
VILHENA;RO;;;24;1;;D;4;A;A;15;5;0;5;3;5;
SAO FRANCISCO DO GUAPORE;RO;;;22;1;;F;3;A;A;14;5;5;5;4;5;
PORTO VELHO;RO;;;16;3;;D;4;A;A;;;;;;;
VILHENA;RO;;;32;1;;F;3;A;A;14;4;4;4;4;5;
CACOAL;RO;;;37;1;;H;2;A;A;16;5;3;3;3;3;
JI-PARANA;RO;;;23;1;;D;4;A;A;17;5;1;5;5;5;
PORTO VELHO;RO;;;26;1;;G;3;A;A;19;3;5;5;5;5;
PORTO VELHO;RO;;;33;1;;B;3;B;A;17;5;5;5;5;5;
ARIQUEMES;RO;;;18;4;;B;2;A;B;17;5;0;5;5;3;
